iter	RMSE
0	8.601921964
1	8.365215086
2	8.149061852
3	7.934461155
4	7.729002304
5	7.551482136
6	7.367384162
7	7.190178401
8	7.028357203
9	6.855127144
10	6.685465464
11	6.529707472
12	6.387166834
13	6.252762887
14	6.123586132
15	5.998736054
16	5.88641027
17	5.769882905
18	5.657840392
19	5.557727683
20	5.463880059
21	5.363355774
22	5.259742884
23	5.173165949
24	5.090497073
25	5.014723669
26	4.931873197
27	4.856151686
28	4.788472677
29	4.717064201
30	4.654354998
31	4.587434738
32	4.523383847
33	4.458323756
34	4.40314523
35	4.348851305
36	4.292415155
37	4.243976447
38	4.196984646
39	4.146002838
40	4.097285729
41	4.057761323
42	4.011668472
43	3.970587842
44	3.931802724
45	3.895463055
46	3.857030398
47	3.823046834
48	3.790942048
49	3.756612578
50	3.72614782
51	3.692994919
52	3.662884411
53	3.63667392
54	3.60908822
55	3.585607542
56	3.565084916
57	3.538292778
58	3.512605918
59	3.487696912
60	3.462043898
61	3.440807704
62	3.419164001
63	3.397778282
64	3.379357556
65	3.359334277
66	3.343668331
67	3.324356915
68	3.304377119
69	3.289294419
70	3.273959494
71	3.25750945
72	3.239944507
73	3.225145603
74	3.208737991
75	3.192818366
76	3.180469434
77	3.167920622
78	3.154337031
79	3.142344803
80	3.130205208
81	3.118621297
82	3.105117864
83	3.093812914
84	3.081497818
85	3.068891765
86	3.056964521
87	3.046270104
88	3.035011432
89	3.025337541
90	3.014797641
91	3.004851025
92	2.995052681
93	2.985091734
94	2.974431956
95	2.964467587
96	2.953511031
97	2.943984474
98	2.934594535
99	2.926588608
100	2.917814531
101	2.909482498
102	2.902099472
103	2.894584574
104	2.886725578
105	2.87795532
106	2.868938588
107	2.860639788
108	2.853557191
109	2.846156038
110	2.838452407
111	2.831991049
112	2.826228711
113	2.819796805
114	2.811669403
115	2.804055618
116	2.798041166
117	2.792313816
118	2.787158119
119	2.780792179
120	2.772790825
121	2.766150507
122	2.759719049
123	2.75251393
124	2.746317396
125	2.740869634
126	2.735367367
127	2.729068814
128	2.722764039
129	2.718290153
130	2.713232449
131	2.708879345
132	2.704285371
133	2.699222038
134	2.69345372
135	2.688971901
136	2.683807011
137	2.677105371
138	2.673329602
139	2.668389289
140	2.664497136
141	2.659394416
142	2.654238915
143	2.648389557
144	2.644471524
145	2.639213565
146	2.634950615
147	2.629856661
148	2.625130243
149	2.621886209
150	2.61677123
151	2.612333587
152	2.608764608
153	2.604706856
154	2.600086428
155	2.596672717
156	2.592592596
157	2.590147387
158	2.586107595
159	2.582331647
160	2.577134382
161	2.573589125
162	2.569827691
163	2.566389643
164	2.563223512
165	2.559909048
166	2.555750726
167	2.551242451
168	2.547850002
169	2.544589459
170	2.540704402
171	2.536451067
172	2.531891542
173	2.529022999
174	2.525451878
175	2.52186591
176	2.517787969
177	2.513425177
178	2.510567628
179	2.505806504
180	2.5027235
181	2.499399219
182	2.497079076
183	2.493719231
184	2.490179211
185	2.487415364
186	2.484266886
187	2.4808413
188	2.477781618
189	2.47377045
190	2.469716688
191	2.466645581
192	2.463143674
193	2.459842604
194	2.4571439
195	2.454086577
196	2.450913206
197	2.447900092
198	2.444707093
199	2.441427511
200	2.438049479
201	2.434742805
202	2.431076191
203	2.427897548
204	2.425515302
205	2.421481116
206	2.418849273
207	2.416282706
208	2.413148288
209	2.410356852
210	2.406365569
211	2.403890099
212	2.400964358
213	2.398666813
214	2.395369675
215	2.391991417
216	2.388460453
217	2.386217399
218	2.383661827
219	2.378905882
220	2.376349717
221	2.373163269
222	2.369784996
223	2.365629898
224	2.362179556
225	2.359169149
226	2.355612192
227	2.352739699
228	2.349026768
229	2.345916725
230	2.343728066
231	2.341953772
232	2.339612562
233	2.336659044
234	2.333975876
235	2.330554557
236	2.327603748
237	2.325044205
238	2.322687103
239	2.318866425
240	2.31614495
241	2.313514587
242	2.312009846
243	2.308773097
244	2.304744947
245	2.301197687
246	2.29843723
247	2.295009158
248	2.290560803
249	2.287775018
250	2.284655325
251	2.281042551
252	2.27837429
253	2.27479905
254	2.26977476
255	2.267570738
256	2.265646743
257	2.26234651
258	2.259737634
259	2.256963957
260	2.253596038
261	2.250667776
262	2.246806348
263	2.245168467
264	2.242124513
265	2.239587983
266	2.237278659
267	2.233698712
268	2.231277539
269	2.227725456
270	2.223856251
271	2.22006637
272	2.217835169
273	2.215960453
274	2.214106499
275	2.211086116
276	2.20659739
277	2.203895073
278	2.201627559
279	2.198550434
280	2.195503248
281	2.192030407
282	2.189587445
283	2.187074179
284	2.1833582
285	2.179834266
286	2.176885841
287	2.174758628
288	2.172776066
289	2.170746377
290	2.16740498
291	2.16345899
292	2.160733478
293	2.157334075
294	2.153148349
295	2.150185712
296	2.147687123
297	2.145623715
298	2.14137701
299	2.138775251
