iter	Passed	Remaining
0	177	53101
1	191	28560
2	204	20270
3	216	16047
4	228	13497
5	239	11732
6	250	10501
7	261	9532
8	271	8788
9	281	8164
10	290	7645
11	300	7223
12	310	6856
13	320	6542
14	331	6291
15	340	6052
16	350	5834
17	360	5644
18	368	5444
19	375	5260
20	383	5097
21	391	4949
22	399	4808
23	407	4683
24	414	4562
25	422	4453
26	430	4348
27	437	4252
28	445	4162
29	453	4081
30	461	4001
31	469	3929
32	476	3858
33	484	3789
34	491	3724
35	499	3663
36	507	3606
37	515	3557
38	523	3503
39	530	3450
40	538	3398
41	545	3349
42	552	3304
43	560	3260
44	568	3219
45	575	3180
46	583	3140
47	590	3102
48	598	3064
49	605	3029
50	613	2994
51	621	2962
52	629	2935
53	637	2904
54	644	2871
55	652	2841
56	659	2810
57	666	2780
58	673	2752
59	681	2724
60	688	2698
61	697	2675
62	704	2650
63	711	2624
64	719	2600
65	726	2576
66	734	2553
67	741	2530
68	748	2507
69	756	2484
70	763	2461
71	770	2440
72	777	2418
73	785	2397
74	792	2376
75	799	2355
76	806	2335
77	813	2315
78	820	2296
79	828	2278
80	835	2259
81	842	2240
82	850	2224
83	857	2205
84	864	2187
85	872	2169
86	879	2152
87	886	2135
88	893	2119
89	901	2102
90	908	2086
91	915	2069
92	922	2053
93	930	2038
94	937	2023
95	944	2007
96	951	1992
97	959	1977
98	966	1962
99	973	1947
100	980	1932
101	988	1917
102	995	1903
103	1002	1889
104	1009	1875
105	1016	1861
106	1025	1848
107	1032	1836
108	1040	1822
109	1047	1809
110	1054	1795
111	1061	1782
112	1069	1769
113	1076	1756
114	1084	1744
115	1091	1731
116	1099	1719
117	1106	1706
118	1114	1695
119	1121	1682
120	1129	1671
121	1136	1658
122	1144	1646
123	1151	1634
124	1159	1623
125	1166	1610
126	1174	1599
127	1181	1587
128	1188	1575
129	1195	1563
130	1203	1552
131	1210	1540
132	1217	1529
133	1225	1517
134	1232	1506
135	1239	1494
136	1247	1483
137	1254	1472
138	1261	1461
139	1269	1451
140	1276	1439
141	1284	1429
142	1291	1418
143	1298	1407
144	1306	1396
145	1314	1386
146	1321	1374
147	1328	1364
148	1335	1353
149	1343	1343
150	1350	1332
151	1357	1322
152	1365	1311
153	1372	1301
154	1380	1291
155	1387	1280
156	1394	1270
157	1402	1260
158	1408	1249
159	1416	1239
160	1424	1229
161	1431	1219
162	1438	1209
163	1446	1199
164	1453	1189
165	1460	1178
166	1467	1169
167	1475	1159
168	1483	1149
169	1490	1139
170	1497	1129
171	1504	1119
172	1511	1109
173	1519	1100
174	1526	1090
175	1534	1081
176	1541	1071
177	1548	1061
178	1556	1052
179	1563	1042
180	1570	1032
181	1577	1022
182	1584	1013
183	1591	1003
184	1599	994
185	1606	984
186	1614	975
187	1621	966
188	1628	956
189	1636	947
190	1643	937
191	1650	928
192	1658	919
193	1666	910
194	1673	901
195	1681	892
196	1688	882
197	1695	873
198	1702	864
199	1710	855
200	1717	845
201	1724	836
202	1731	827
203	1739	818
204	1746	809
205	1753	800
206	1761	791
207	1768	782
208	1775	773
209	1782	764
210	1790	755
211	1797	746
212	1805	737
213	1812	728
214	1819	719
215	1827	710
216	1835	702
217	1842	693
218	1850	684
219	1857	675
220	1864	666
221	1871	657
222	1879	648
223	1886	639
224	1893	631
225	1900	622
226	1908	613
227	1916	605
228	1923	596
229	1930	587
230	1937	578
231	1944	569
232	1951	561
233	1959	552
234	1966	543
235	1974	535
236	1981	526
237	1989	518
238	1996	509
239	2003	500
240	2010	492
241	2017	483
242	2025	475
243	2032	466
244	2039	457
245	2046	449
246	2054	440
247	2061	432
248	2068	423
249	2075	415
250	2083	406
251	2090	398
252	2097	389
253	2105	381
254	2113	372
255	2120	364
256	2128	356
257	2136	347
258	2144	339
259	2154	331
260	2161	323
261	2168	314
262	2176	306
263	2183	297
264	2190	289
265	2197	280
266	2205	272
267	2212	264
268	2220	255
269	2227	247
270	2235	239
271	2242	230
272	2249	222
273	2256	214
274	2264	205
275	2271	197
276	2279	189
277	2286	180
278	2293	172
279	2301	164
280	2308	156
281	2316	147
282	2323	139
283	2331	131
284	2338	123
285	2345	114
286	2352	106
287	2359	98
288	2366	90
289	2373	81
290	2381	73
291	2388	65
292	2395	57
293	2402	49
294	2410	40
295	2417	32
296	2424	24
297	2431	16
298	2439	8
299	2446	0
